,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
231,232,2021,Venom: Let There be Carnage,"$501,546,922","$213,550,366","$287,996,556"
232,233,2009,Sherlock Holmes,"$498,438,212","$209,028,679","$289,409,533"
233,234,2012,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844"
234,235,1996,Twister,"$495,700,000","$241,688,385","$254,011,615"
235,236,2010,How to Train Your Dragon,"$494,870,992","$217,581,232","$277,289,760"
236,237,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000"
237,238,2014,Rio 2,"$492,846,291","$131,538,435","$361,307,856"
238,239,2001,Shrek,"$491,812,794","$267,655,011","$224,157,783"
239,240,2009,Angels & Demons,"$490,875,846","$133,375,846","$357,500,000"
240,241,2013,Oz the Great and Powerful,"$490,359,051","$234,770,996","$255,588,055"
241,242,2017,War for the Planet of the Apes,"$489,592,267","$146,880,162","$342,712,105"
242,243,2019,Maleficent: Mistress of Evil,"$489,181,357","$113,929,605","$375,251,752"
243,244,2011,Rio,"$487,519,809","$143,619,809","$343,900,000"
244,245,2005,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811"
245,246,1998,Saving Private Ryan,"$485,035,085","$216,335,085","$268,700,000"
246,247,2014,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754","$293,800,000"
247,248,2012,Les Intouchables,"$484,630,908","$13,182,281","$471,448,627"
248,249,2003,Bruce Almighty,"$484,468,608","$242,704,995","$241,763,613"
249,250,2004,Troy,"$483,152,040","$133,298,577","$349,853,463"
250,251,2022,Puss in Boots: The Last Wish,"$483,036,178","$185,535,345","$297,500,833"
251,252,1975,Jaws,"$482,947,378","$272,257,035","$210,690,343"
252,253,1983,Star Wars Ep. VI: Return of the Jedi,"$481,275,884","$315,375,603","$165,900,281"
253,254,1990,Home Alone,"$476,680,911","$285,761,243","$190,919,668"
254,255,2005,Charlie and the Chocolate Factory,"$475,825,484","$206,459,076","$269,366,408"
255,256,2019,Wo he wo de zu guo,"$474,488,019","$2,323,409","$472,164,610"
256,257,1989,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806","$277,000,000"
257,258,2020,Ba bai,"$472,648,086",,"$472,648,086"
258,259,2011,Rise of the Planet of the Apes,"$470,986,200","$176,760,185","$294,226,015"
259,260,2015,Hotel Transylvania 2,"$469,747,882","$169,700,110","$300,047,772"
260,261,2014,The Lego Movie,"$468,084,718","$257,784,718","$210,300,000"
261,262,2021,Godzilla vs. Kong,"$468,043,852","$100,916,094","$367,127,758"
262,263,2019,It: Chapter Two,"$467,563,955","$211,593,228","$255,970,727"
